id,BRAND,brandId,tagId,TAG,product_name,model,upc,per_case,requested,quantity,discount,total supplier cost w/ disc,TOTAL supplierCost w/o disc,baseCost,RETAIL PRICE,Per Case Quantity,Per Case RETAIL PRICE,uploadRetailPrice,WEIGHT,SIZE,measuringUnitId,isActive,isKit,supplierId,SUPPLIER
4308,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4309,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4310,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4311,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4312,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4313,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4314,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4315,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4316,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4317,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4318,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4319,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4320,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4321,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4322,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4323,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4324,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4325,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4326,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4327,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4328,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4329,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4330,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4331,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4332,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4333,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4334,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4335,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4336,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4337,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4338,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4339,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
